Datum;Sat;Energija;Cijena;Status ukljucivanja
07.08.2025;14;475,34399999999994;-3,24;False
07.08.2025;15;472,39519999999993;0,02;True
07.08.2025;16;463,30879999999996;0,02;True
07.08.2025;17;359,80800000000005;51,87;True
07.08.2025;18;237,90560000000002;75,19;True
07.08.2025;19;88,4096;110,95;True
07.08.2025;20;18,864;142,64;True
07.08.2025;21;0,46080000000000004;176,0;True
07.08.2025;22;0,0;129,29;True
07.08.2025;23;0,0;110,0;True
07.08.2025;24;0,0;101,28;True
08.08.2025;1;0,0;93,95;True
08.08.2025;2;0,0;90,05;True
08.08.2025;3;0,0;86,1;True
08.08.2025;4;0,0;82,91;True
08.08.2025;5;0,0;81,05;True
08.08.2025;6;0,76;91,3;True
08.08.2025;7;24,144;97,9;True
08.08.2025;8;128,1008;95,75;True
08.08.2025;9;278,9744;73,83;True
08.08.2025;10;407,30400000000003;47,71;True
08.08.2025;11;478,1584;8,3;True
08.08.2025;12;476,3248;6,59;True
08.08.2025;13;478,1968;0,0;True
08.08.2025;14;478,9024;-0,01;False
08.08.2025;15;464,7552;0,0;True
08.08.2025;16;454,912;0,0;True
08.08.2025;17;371,2096;10,49;True
08.08.2025;18;235,6336;100,84;True
08.08.2025;19;88,4832;121,04;True
08.08.2025;20;14,553600000000001;204,64;True
08.08.2025;21;0,6016;250,17;True
08.08.2025;22;0,0;153,96;True
08.08.2025;23;0,0;125,31;True
08.08.2025;24;0,0;108,45;True
09.08.2025;1;0,0;102,57;True
09.08.2025;2;0,0;101,72;True
09.08.2025;3;0,0;101,22;True
09.08.2025;4;0,0;98,2;True
09.08.2025;5;0,0;98,03;True
09.08.2025;6;0,6816;98,12;True
09.08.2025;7;22,452799999999996;97,58;True
09.08.2025;8;121,99839999999999;85,68;True
09.08.2025;9;266,4896;67,93;True
09.08.2025;10;395,80640000000005;15,34;True
09.08.2025;11;477,12800000000004;-0,02;False
09.08.2025;12;464,15840000000003;-1,0;False
09.08.2025;13;455,6992;-10,41;False
09.08.2025;14;459,4832;-16,51;False
09.08.2025;15;470,6672;-14,91;False
09.08.2025;16;452,38560000000007;-2,72;False
09.08.2025;17;355,98240000000004;0,13;True
09.08.2025;18;223,2064;116,36;True
09.08.2025;19;84,1584;118,32;True
09.08.2025;20;13,9456;136,8;True
09.08.2025;21;0,4288;162,91;True
09.08.2025;22;0,0;126,72;True
09.08.2025;23;0,0;112,9;True
09.08.2025;24;0,0;95,0;True
10.08.2025;1;0,0;84,63;True
10.08.2025;2;0,0;82,85;True
10.08.2025;3;0,0;82,53;True
10.08.2025;4;0,0;77,28;True
10.08.2025;5;0,0;79,9;True
10.08.2025;6;0,656;82,8;True
10.08.2025;7;23,078400000000002;81,1;True
10.08.2025;8;115,8864;69,45;True
10.08.2025;9;253,79039999999998;26,46;True
10.08.2025;10;377,7904;-0,01;False
10.08.2025;11;464,56320000000005;-3,51;False
10.08.2025;12;482,456;-15,6;False
10.08.2025;13;469,976;-37,95;False
10.08.2025;14;464,4144;-60,3;False
10.08.2025;15;471,5664;-49,65;False
10.08.2025;16;442,1216;-19,76;False
10.08.2025;17;341,3824;-0,2;False
10.08.2025;18;211,088;56,74;True
10.08.2025;19;73,7312;90,64;True
10.08.2025;20;17,8704;120,99;True
10.08.2025;21;0,136;150,49;True
10.08.2025;22;0,0;119,47;True
10.08.2025;23;0,0;106,59;True
10.08.2025;24;0,0;97,96;True
11.08.2025;1;0,0;99,23;True
11.08.2025;2;0,0;91,15;True
11.08.2025;3;0,0;86,87;True
11.08.2025;4;0,0;84,4;True
11.08.2025;5;0,0;92,42;True
11.08.2025;6;0,4656;103,5;True
11.08.2025;7;25,9872;128,09;True
11.08.2025;8;89,1328;114,44;True
11.08.2025;9;233,47679999999997;82,4;True
11.08.2025;10;372,6256;33,31;True
11.08.2025;11;446,5424;3,65;True
11.08.2025;12;427,81600000000003;2,54;True
11.08.2025;13;478,32320000000004;0,0;True
11.08.2025;14;483,0288;0,0;True
11.08.2025;15;474,6704;0,0;True
11.08.2025;16;454,2512;9,0;True
11.08.2025;17;344,936;59,12;True
11.08.2025;18;214,2304;98,53;True
11.08.2025;19;82,35679999999999;139,99;True
11.08.2025;20;17,6672;208,81;True
11.08.2025;21;0,3936;243,91;True
11.08.2025;22;0,0;140,35;True
11.08.2025;23;0,0;108,87;True
11.08.2025;24;0,0;96,0;True
12.08.2025;1;0,0;93,0;True
12.08.2025;2;0,0;89,67;True
12.08.2025;3;0,0;85,41;True
12.08.2025;4;0,0;84,77;True
12.08.2025;5;0,0;85,86;True
12.08.2025;6;0,4272;93,86;True
12.08.2025;7;23,0832;102,97;True
12.08.2025;8;110,39519999999999;98,34;True
12.08.2025;9;253,61599999999999;93,71;True
12.08.2025;10;385,03200000000004;64,5;True
12.08.2025;11;473,93600000000004;15,45;True
12.08.2025;12;482,1952;13,18;True
12.08.2025;13;478,1312;8,38;True
12.08.2025;14;475,24;3,0;True
12.08.2025;15;483,4512;5,15;True
12.08.2025;16;456,7664;35,05;True
12.08.2025;17;352,18240000000003;73,08;True
12.08.2025;18;217,8992;113,61;True
12.08.2025;19;81,576;147,18;True
12.08.2025;20;15,470400000000001;269,94;True
12.08.2025;21;0,2784;305,13;True
12.08.2025;22;0,0;147,97;True
12.08.2025;23;0,0;114,51;True
12.08.2025;24;0,0;98,2;True
13.08.2025;1;0,0;96,66;True
13.08.2025;2;0,0;90,0;True
13.08.2025;3;0,0;86,89;True
13.08.2025;4;0,0;84,71;True
13.08.2025;5;0,0;87,07;True
13.08.2025;6;0,4288;91,93;True
13.08.2025;7;21,96;108,64;True
13.08.2025;8;112,632;103,52;True
13.08.2025;9;254,50560000000002;89,41;True
13.08.2025;10;384,7104;62,59;True
13.08.2025;11;474,81440000000003;-0,97;False
13.08.2025;12;486,18559999999997;4,81;True
13.08.2025;13;485,5168;6,74;True
13.08.2025;14;486,98720000000003;9,77;True
13.08.2025;15;480,06559999999996;41,2;True
13.08.2025;16;452,22399999999993;70,9;True
13.08.2025;17;352,3584;84,3;True
13.08.2025;18;217,55519999999999;96,64;True
13.08.2025;19;78,99199999999999;131,81;True
13.08.2025;20;13,444799999999999;261,79;True
13.08.2025;21;0,1328;280,07;True
13.08.2025;22;0,0;150,92;True
13.08.2025;23;0,0;123,21;True
13.08.2025;24;0,0;106,27;True
14.08.2025;1;0,0;98,1;True
14.08.2025;2;0,0;92,0;True
14.08.2025;3;0,0;88,45;True
14.08.2025;4;0,0;87,49;True
14.08.2025;5;0,0;87,87;True
14.08.2025;6;0,3632;96,01;True
14.08.2025;7;21,987199999999998;105,9;True
14.08.2025;8;111,4;105,63;True
14.08.2025;9;252,952;94,65;True
14.08.2025;10;383,42719999999997;84,9;True
14.08.2025;11;474,06239999999997;63,96;True
14.08.2025;12;487,408;56,36;True
14.08.2025;13;487,37760000000003;44,21;True
14.08.2025;14;487,336;36,64;True
14.08.2025;15;484,832;54,9;True
14.08.2025;16;447,4176;69,43;True
14.08.2025;17;341,7184;78,99;True
14.08.2025;18;208,66240000000002;100,23;True
14.08.2025;19;77,7872;147,71;True
14.08.2025;20;13,9696;257,69;True
14.08.2025;21;0,0576;280,4;True
14.08.2025;22;0,0;155,46;True
14.08.2025;23;0,0;121,7;True
14.08.2025;24;0,0;105,95;True
15.08.2025;1;0,0;99,12;True
15.08.2025;2;0,0;97,86;True
15.08.2025;3;0,0;92,39;True
15.08.2025;4;0,0;88,03;True
15.08.2025;5;0,0;90,25;True
15.08.2025;6;0,1712;93,79;True
15.08.2025;7;20,6032;98,74;True
15.08.2025;8;102,52000000000001;99,04;True
15.08.2025;9;238,46880000000002;93,42;True
15.08.2025;10;370,2816;70,65;True
15.08.2025;11;460,93760000000003;25,18;True
15.08.2025;12;474,24;3,0;True
15.08.2025;13;468,1648;0,08;True
15.08.2025;14;464,43999999999994;0,0;True
15.08.2025;15;466,8976;0,0;True
15.08.2025;16;433,7328;1,73;True
15.08.2025;17;339,032;36,73;True
15.08.2025;18;204,344;82,41;True
15.08.2025;19;73,8528;104,6;True
15.08.2025;20;12,588799999999999;121,89;True
15.08.2025;21;0,0304;136,51;True
15.08.2025;22;0,0;111,22;True
15.08.2025;23;0,0;105,7;True
15.08.2025;24;0,0;95,71;True
16.08.2025;1;0,0;94,05;True
16.08.2025;2;0,0;89,21;True
16.08.2025;3;0,0;87,78;True
16.08.2025;4;0,0;82,19;True
16.08.2025;5;0,0;80,4;True
16.08.2025;6;0,0864;83,14;True
16.08.2025;7;14,307199999999998;85,78;True
16.08.2025;8;82,9952;85,93;True
16.08.2025;9;153,8064;77,23;True
16.08.2025;10;371,30559999999997;65,49;True
16.08.2025;11;303,392;24,21;True
16.08.2025;12;433,2864;3,8;True
16.08.2025;13;448,2688;0,17;True
16.08.2025;14;487,7808;-0,01;False
16.08.2025;15;446,9184;-0,01;False
16.08.2025;16;450,6032;0,0;True
16.08.2025;17;242,9408;31,14;True
16.08.2025;18;147,98719999999997;72,64;True
16.08.2025;19;40,824;102,86;True
16.08.2025;20;23,819200000000002;130,54;True
16.08.2025;21;0,0;139,22;True
16.08.2025;22;0,0;120,08;True
16.08.2025;23;0,0;99,09;True
16.08.2025;24;0,0;89,66;True
17.08.2025;1;0,0;89,12;True
17.08.2025;2;0,0;82,84;True
17.08.2025;3;0,0;83,23;True
17.08.2025;4;0,0;81,8;True
17.08.2025;5;0,0;82,09;True
17.08.2025;6;0,0496;83,04;True
17.08.2025;7;16,5808;83,11;True
17.08.2025;8;87,5968;73,53;True
17.08.2025;9;195,25279999999998;64,84;True
17.08.2025;10;326,0016;23,26;True
17.08.2025;11;267,20959999999997;7,88;True
17.08.2025;12;266,5952;0,45;True
17.08.2025;13;297,8752;0,07;True
17.08.2025;14;419,2848;-0,64;False
17.08.2025;15;407,5952;-0,79;False
17.08.2025;16;340,57280000000003;0,65;True
17.08.2025;17;104,2432;15,09;True
17.08.2025;18;73,9936;65,6;True
17.08.2025;19;52,9568;94,6;True
17.08.2025;20;15,895999999999999;109,58;True
17.08.2025;21;0,008;112,48;True
17.08.2025;22;0,0;110,04;True
17.08.2025;23;0,0;104,78;True
17.08.2025;24;0,0;101,82;True
18.08.2025;1;0,0;90,08;True
18.08.2025;2;0,0;84,76;True
18.08.2025;3;0,0;82,86;True
18.08.2025;4;0,0;80,8;True
18.08.2025;5;0,0;85,79;True
18.08.2025;6;0,1184;96,17;True
18.08.2025;7;17,648;113,06;True
18.08.2025;8;103,1024;118,01;True
18.08.2025;9;257,5808;101,48;True
18.08.2025;10;399,1728;87,48;True
18.08.2025;11;484,83040000000005;69,04;True
18.08.2025;12;486,496;45,93;True
18.08.2025;13;487,2688;20,04;True
18.08.2025;14;488,136;14,23;True
18.08.2025;15;487,2432;18,34;True
18.08.2025;16;465,6544;54,56;True
