Mjerno mjesto	Datum	Vrijeme	OBIS	Brojilo	Konstanta	Vrijednost snaga	Vrijednost energija	Status
 0497330635	01.08.2025	15:45:00	LP: A-_T0	69051391	160	477,4208	119,3552	0
 0497330635	01.08.2025	16:00:00	LP: A-_T0	69051391	160	454,0352	113,5088	0
 0497330635	01.08.2025	16:15:00	LP: A-_T0	69051391	160	432,9024	108,2256	0
 0497330635	01.08.2025	16:30:00	LP: A-_T0	69051391	160	403,0656	100,7664	0
 0497330635	01.08.2025	16:45:00	LP: A-_T0	69051391	160	367,7312	91,9328	0
 0497330635	01.08.2025	17:00:00	LP: A-_T0	69051391	160	339,4816	84,8704	0
 0497330635	01.08.2025	17:15:00	LP: A-_T0	69051391	160	304,64	76,16	0
 0497330635	01.08.2025	17:30:00	LP: A-_T0	69051391	160	270,4768	67,6192	0
 0497330635	01.08.2025	17:45:00	LP: A-_T0	69051391	160	231,9744	57,9936	0
 0497330635	01.08.2025	18:00:00	LP: A-_T0	69051391	160	192,8704	48,2176	0
 0497330635	01.08.2025	18:15:00	LP: A-_T0	69051391	160	97,5744	24,3936	0
 0497330635	01.08.2025	18:30:00	LP: A-_T0	69051391	160	47,8592	11,9648	0
 0497330635	01.08.2025	18:45:00	LP: A-_T0	69051391	160	33,9264	8,4816	0
 0497330635	01.08.2025	19:00:00	LP: A-_T0	69051391	160	28,0576	7,0144	0
 0497330635	01.08.2025	19:15:00	LP: A-_T0	69051391	160	24,0576	6,0144	0
 0497330635	01.08.2025	19:30:00	LP: A-_T0	69051391	160	18,0096	4,5024	0
 0497330635	01.08.2025	19:45:00	LP: A-_T0	69051391	160	11,328	2,832	0
 0497330635	01.08.2025	20:00:00	LP: A-_T0	69051391	160	5,5232	1,3808	0
 0497330635	01.08.2025	20:15:00	LP: A-_T0	69051391	160	0,2816	0,0704	0
 0497330635	01.08.2025	20:30:00	LP: A-_T0	69051391	160	0	0	0
