Sat	Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned		Pon		Uto		Sri		Èet		Pet		Sub		Ned					
	8/1/2025		8/2/2025		8/3/2025		8/4/2025		8/5/2025		8/6/2025		8/7/2025		8/8/2025		8/9/2025		8/10/2025		8/11/2025		8/12/2025		8/13/2025		8/14/2025		8/15/2025		8/16/2025		8/17/2025		8/18/2025		8/19/2025		8/20/2025		8/21/2025		8/22/2025		8/23/2025		8/24/2025		8/25/2025		8/26/2025		8/27/2025		8/28/2025		8/29/2025		8/30/2025		8/31/2025					
	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen	Cijena	Volumen				
	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]	[€/MWh]	[MWh]				
7	105.25	879.8	87.09	"1,002.50"	47.97	"1,083.60"	93.33	"1,125.70"	96.66	"1,097.90"	95.58	"1,311.60"	100.82	777.7	97.9	865	97.58	962.8	81.1	917.6	128.09	"1,283.00"	102.97	"1,201.80"	108.64	887.1	105.9	897.9	98.74	"1,021.50"	85.78	"1,174.50"	83.11	"1,224.50"	113.06	982.4	108.5	929	108.36	"1,127.50"	107.36	"1,008.10"	101.66	"1,144.70"	86.31	"1,071.80"	90	859	111.75	808.7	118.67	936.9	109.62	725.7	116.67	587.1	106.49	794.1	91.08	"1,181.20"	70.97	988.4				
8	109.17	903	82.45	991.7	26.27	"1,000.70"	101.16	"1,016.10"	93.54	"1,015.80"	97.35	"1,104.10"	94.68	718	95.75	767.4	85.68	965.9	69.45	"1,128.00"	114.44	"1,060.50"	98.34	975.4	103.52	816.4	105.63	817.4	99.04	963.3	85.93	"1,005.60"	73.53	"1,146.70"	118.01	927.2	108.1	760.9	106.68	971.1	107.95	878.8	102.94	"1,021.50"	86.72	810.4	84.62	856.2	120.82	937.7	119.75	957.6	115.37	585	120.32	707.8	109.36	847.8	92.6	"1,095.60"	67.08	"1,051.30"				
9	105.5	814.7	71.78	998	6.16	"1,009.10"	95.29	859	73.11	927	84	"1,097.70"	47.38	797	73.83	"1,251.20"	67.93	"1,354.20"	26.46	"1,297.80"	82.4	"1,075.10"	93.71	"1,070.50"	89.41	779.8	94.65	"1,007.40"	93.42	"1,098.00"	77.23	"1,255.40"	64.84	"1,145.20"	101.48	846.9	98.05	679.2	102.57	970.9	102.21	984.6	92.58	"1,193.20"	82.77	"1,054.90"	45.63	802.9	107.7	"1,020.20"	105.73	808.8	113.64	688.4	98.39	723.9	109.96	783.8	87.56	"1,270.20"	22.31	"1,131.90"				
10	90.19	"1,047.40"	50.86	"1,243.00"	0	"1,350.30"	85.68	"1,076.50"	3.79	"1,073.70"	27.83	"1,421.70"	17.04	"1,080.00"	47.71	"1,680.40"	15.34	"1,551.30"	"?0,01"	"1,452.10"	33.31	"1,181.10"	64.5	"1,596.00"	62.59	"1,446.10"	84.9	"1,622.20"	70.65	"1,430.80"	65.49	"1,562.10"	23.26	"1,482.90"	87.48	"1,211.80"	88.57	"1,171.60"	79.14	"1,290.00"	102.31	"1,247.80"	79.13	"1,553.50"	52.01	"1,151.70"	2.14	921.2	91.97	"1,250.80"	90	"1,035.40"	101.63	872.1	27.4	"1,097.00"	93.78	"1,222.70"	83.25	"1,540.10"	5.39	"1,251.30"				
11	67.09	"1,031.70"	29.68	"1,216.40"	"?1,01"	"1,508.90"	66.7	"1,081.70"	0	"1,089.60"	0.02	"1,479.90"	"?1,97"	"1,262.50"	8.3	"1,648.10"	"?0,02"	"1,464.30"	"?3,51"	"1,899.00"	3.65	"1,474.60"	15.45	"1,718.70"	"?0,97"	"1,796.70"	63.96	"1,689.60"	25.18	"1,667.90"	24.21	"1,798.30"	7.88	"1,628.20"	69.04	"1,263.00"	69.64	"1,324.20"	63.48	"1,530.90"	92.03	"1,531.80"	62.44	"1,639.90"	12.64	"1,218.40"	"?0,01"	909	68.02	"1,209.80"	57.88	"1,192.30"	68.86	"1,080.50"	12.84	916.1	80.01	"1,240.40"	38.65	"1,656.50"	0.01	"1,090.60"				
12	65.96	"1,216.90"	5.68	"1,292.00"	"?2,10"	"1,670.70"	49.3	"1,097.60"	"?1,82"	"1,150.60"	2.17	"1,450.20"	0	"1,306.20"	6.59	"1,737.60"	"?1,00"	"1,602.50"	"?15,60"	"2,080.20"	2.54	"1,749.40"	13.18	"2,023.70"	4.81	"2,148.50"	56.36	"1,963.50"	3	"1,893.40"	3.8	"2,023.50"	0.45	"1,802.50"	45.93	"1,360.50"	43.23	"1,472.70"	46.01	"1,359.00"	84.14	"1,560.70"	41.19	"1,488.40"	3.35	"1,561.40"	"?0,07"	"1,109.00"	35.02	"1,350.40"	46.95	"1,441.30"	59.57	"1,107.60"	0.31	940.8	58.98	"1,337.00"	5.23	"1,555.60"	"?0,01"	"1,386.20"				
13	67.7	"1,161.20"	2.95	"1,221.60"	"?3,00"	"1,774.70"	14.64	"1,237.90"	"?4,97"	"1,167.60"	10.42	"1,362.60"	"?0,17"	"1,250.30"	0	"1,774.70"	"?10,41"	"1,708.90"	"?37,95"	"2,168.30"	0	"1,885.80"	8.38	"2,145.60"	6.74	"2,237.00"	44.21	"2,057.40"	0.08	"2,076.20"	0.17	"2,027.40"	0.07	"2,008.90"	20.04	"1,484.40"	29.88	"1,437.00"	47.14	"1,447.00"	75.55	"1,539.00"	16.81	"1,450.50"	1.38	"1,557.60"	"?1,98"	"1,160.00"	10	"1,401.40"	31.11	"1,484.00"	53.94	"1,141.00"	0.13	953.6	48.44	"1,457.80"	0	"1,548.60"	"?0,10"	"1,316.70"				
14	65.73	"1,167.00"	0	"1,309.50"	"?9,90"	"1,675.80"	4.05	"1,237.40"	17.88	"1,205.90"	12.04	"1,241.40"	"?3,24"	"1,246.00"	"?0,01"	"1,744.60"	"?16,51"	"1,718.20"	"?60,30"	"2,181.60"	0	"2,070.10"	3	"2,215.10"	9.77	"2,398.50"	36.64	"2,162.90"	0	"2,127.30"	"?0,01"	"2,087.50"	"?0,64"	"2,003.40"	14.23	"1,569.00"	37.98	"1,445.40"	35	"1,491.90"	70.92	"1,573.20"	5.91	"1,436.00"	0.12	"1,516.80"	"?7,45"	"1,131.30"	5.93	"1,432.30"	26.28	"1,435.20"	39.09	"1,182.50"	0.11	982.7	48.01	"1,495.60"	0	"1,503.50"	"?0,98"	"1,210.80"				
15	52.05	"1,173.70"	0	"1,251.30"	"?10,08"	"1,562.80"	0.66	"1,274.70"	"?12,00"	"1,237.10"	6.72	"1,415.90"	0.02	"1,356.50"	0	"1,843.70"	"?14,91"	"1,769.30"	"?49,65"	"2,149.10"	0	"2,095.90"	5.15	"2,285.20"	41.2	"2,434.00"	54.9	"2,341.70"	0	"2,169.90"	"?0,01"	"2,149.90"	"?0,79"	"2,054.70"	18.34	"1,628.50"	42.49	"1,403.60"	40.92	"1,566.30"	78.28	"1,642.40"	2.2	"1,467.40"	0.44	"1,522.40"	"?7,40"	"1,112.90"	6.78	"1,446.20"	38.05	"1,425.40"	46.92	"1,241.40"	16.16	"1,009.30"	59.5	"1,607.20"	0	"1,331.50"	"?0,60"	"1,130.20"				
16	52.79	"1,204.10"	0	"1,447.10"	"?4,98"	"1,505.00"	39.66	"1,125.30"	3.26	"1,269.40"	30.04	"1,237.60"	0.02	"1,313.00"	0	"1,728.60"	"?2,72"	"1,749.90"	"?19,76"	"2,144.60"	9	"2,222.30"	35.05	"2,067.50"	70.9	"2,388.20"	69.43	"2,223.50"	1.73	"2,173.80"	0	"2,289.60"	0.65	"2,034.60"	54.56	"1,501.80"	57.55	"1,507.80"	68.04	"1,769.40"	85.27	"1,473.80"	6.37	"1,421.80"	3.52	"1,547.40"	"?0,10"	"1,200.10"	25.2	"1,602.10"	74.24	"1,537.30"	78.09	"1,321.10"	38.2	"1,144.90"	83.19	"1,681.90"	9.57	"1,206.70"	0	984.5				
17	75.44	"1,095.80"	5.72	"1,595.40"	"?0,89"	"1,532.60"	67.06	"1,260.90"	60.22	"1,404.20"	83.54	"1,292.60"	51.87	"1,243.80"	10.49	"1,769.70"	0.13	"1,792.60"	"?0,20"	"2,304.30"	59.12	"2,095.10"	73.08	"2,013.00"	84.3	"2,156.60"	78.99	"2,053.30"	36.73	"2,176.80"	31.14	"2,143.40"	15.09	"2,077.40"	72.6	"1,298.60"	75.32	"1,498.10"	75.58	"1,717.20"	96.36	"1,413.50"	46.31	"1,392.70"	14.91	"1,542.40"	0	"1,135.50"	68.99	"1,702.50"	91.24	"1,569.60"	87.38	"1,122.70"	89.59	862.7	94.62	"1,517.80"	64	"1,321.30"	27.8	"1,044.00"				
18	89.71	"1,128.30"	64.81	"1,533.80"	36.57	"1,465.20"	95.51	"1,189.00"	94.91	"1,309.60"	76.49	"1,300.30"	75.19	"1,080.20"	100.84	"1,429.10"	116.36	"1,631.30"	56.74	"2,238.70"	98.53	"1,382.50"	113.61	"1,669.00"	96.64	"1,262.60"	100.23	"1,276.90"	82.41	"2,128.20"	72.64	"2,246.00"	65.6	"1,808.10"	98.44	"1,160.50"	107.88	981.2	100.85	"1,421.10"	108.74	"1,236.10"	71.26	"1,432.60"	87.89	"1,703.10"	69.03	"1,526.00"	89.98	"1,100.60"	112.57	"1,163.50"	107.8	823.1	113.74	"1,088.90"	116.04	"1,245.00"	102.91	"1,199.00"	87.54	779.2				
